PERMNO,date,TICKER,COMNAM,PRC,VOL,RET,SHROUT
61241,2024-03-26,AMD,ADVANCED MICRO DEVICES INC,177.87000,65032162,-0.004255,1616140
61241,2024-03-27,AMD,ADVANCED MICRO DEVICES INC,179.59000,55431850,0.009670,1616140
61241,2024-03-28,AMD,ADVANCED MICRO DEVICES INC,180.49001,57345819,0.005011,1618000
61241,2024-04-01,AMD,ADVANCED MICRO DEVICES INC,183.34000,73889441,0.015790,1618000
61241,2024-04-02,AMD,ADVANCED MICRO DEVICES INC,178.70000,61183034,-0.025308,1618000
61241,2024-04-03,AMD,ADVANCED MICRO DEVICES INC,180.77000,49829372,0.011584,1618000
61241,2024-04-04,AMD,ADVANCED MICRO DEVICES INC,165.83000,87796472,-0.082646,1618000
61241,2024-04-05,AMD,ADVANCED MICRO DEVICES INC,170.42000,65786670,0.027679,1618000
61241,2024-04-08,AMD,ADVANCED MICRO DEVICES INC,169.89999,43789409,-0.003051,1618000
61241,2024-04-09,AMD,ADVANCED MICRO DEVICES INC,170.78000,42710562,0.005180,1618000
61241,2024-04-10,AMD,ADVANCED MICRO DEVICES INC,167.14000,59272370,-0.021314,1618000
61241,2024-04-11,AMD,ADVANCED MICRO DEVICES INC,170.50000,48782263,0.020103,1618000
61241,2024-04-12,AMD,ADVANCED MICRO DEVICES INC,163.28000,63185210,-0.042346,1618000
61241,2024-04-15,AMD,ADVANCED MICRO DEVICES INC,160.32001,61167896,-0.018128,1618000
61241,2024-04-16,AMD,ADVANCED MICRO DEVICES INC,163.46001,55064943,0.019586,1618000
61241,2024-04-17,AMD,ADVANCED MICRO DEVICES INC,154.02000,75528829,-0.057751,1618000
61241,2024-04-18,AMD,ADVANCED MICRO DEVICES INC,155.08000,52432251,0.006882,1618000
61241,2024-04-19,AMD,ADVANCED MICRO DEVICES INC,146.64000,71179828,-0.054424,1618000
61241,2024-04-22,AMD,ADVANCED MICRO DEVICES INC,148.64000,49593582,0.013639,1618000
61241,2024-04-23,AMD,ADVANCED MICRO DEVICES INC,152.27000,45900525,0.024421,1618000
61241,2024-04-24,AMD,ADVANCED MICRO DEVICES INC,151.74001,43150629,-0.003481,1618000
61241,2024-04-25,AMD,ADVANCED MICRO DEVICES INC,153.75999,41152043,0.013312,1616314
61241,2024-04-26,AMD,ADVANCED MICRO DEVICES INC,157.39999,42248157,0.023673,1616314
61241,2024-04-29,AMD,ADVANCED MICRO DEVICES INC,160.20000,43225916,0.017789,1616314
61241,2024-04-30,AMD,ADVANCED MICRO DEVICES INC,158.38000,60012189,-0.011361,1616314
61241,2024-05-01,AMD,ADVANCED MICRO DEVICES INC,144.27000,88219804,-0.089090,1616314
61241,2024-05-02,AMD,ADVANCED MICRO DEVICES INC,146.16000,49706200,0.013100,1616314
61241,2024-05-03,AMD,ADVANCED MICRO DEVICES INC,150.60001,49124292,0.030378,1616314
61241,2024-05-06,AMD,ADVANCED MICRO DEVICES INC,155.78000,44494646,0.034396,1616314
61241,2024-05-07,AMD,ADVANCED MICRO DEVICES INC,154.42999,37272161,-0.008666,1616314
61241,2024-05-08,AMD,ADVANCED MICRO DEVICES INC,153.62000,28617709,-0.005245,1616314
61241,2024-05-09,AMD,ADVANCED MICRO DEVICES INC,152.39000,32879199,-0.008007,1616314
61241,2024-05-10,AMD,ADVANCED MICRO DEVICES INC,151.92000,37507281,-0.003084,1616314
61241,2024-05-13,AMD,ADVANCED MICRO DEVICES INC,150.56000,27753263,-0.008952,1616314
61241,2024-05-14,AMD,ADVANCED MICRO DEVICES INC,153.16000,31814673,0.017269,1616314
61241,2024-05-15,AMD,ADVANCED MICRO DEVICES INC,159.67000,43000838,0.042505,1616314
61241,2024-05-16,AMD,ADVANCED MICRO DEVICES INC,162.62000,76836926,0.018476,1616314
61241,2024-05-17,AMD,ADVANCED MICRO DEVICES INC,164.47000,65643990,0.011376,1616314
61241,2024-05-20,AMD,ADVANCED MICRO DEVICES INC,166.33000,45357867,0.011309,1616314
61241,2024-05-21,AMD,ADVANCED MICRO DEVICES INC,164.66000,29884130,-0.010040,1616314
61241,2024-05-22,AMD,ADVANCED MICRO DEVICES INC,165.52000,47119928,0.005223,1616314
61241,2024-05-23,AMD,ADVANCED MICRO DEVICES INC,160.42999,91275568,-0.030752,1616314
61241,2024-05-24,AMD,ADVANCED MICRO DEVICES INC,166.36000,54599343,0.036963,1616314
61241,2024-05-28,AMD,ADVANCED MICRO DEVICES INC,171.61000,66126201,0.031558,1616314
